t [s]	neMax [m^-3]	ne [10^19 m^-3]	TeMax [keV]	Zeff [s]	Ell [V/m]	ED [V/m]	Ell/ED [1]	Spri [a.u.]	Integrated Spri [a.u.]
1.28935	2.12637061630925E19	2.12637061630925	4.48316503601817	9.3098	0.175430818667919	2.22454226504681	0.078861535437821	1.71036770306357E18	4.6544361514737E21
1.2904	2.12711664783237E19	2.12711664783237	4.48249830381097	9.3457	0.176560396016364	2.22565373702384	0.0793296787722523	1.79655396214136E18	4.65443799260758E21
1.29145	2.1278155482754E19	2.1278155482754	4.48038723212127	9.3815	0.176412982064146	2.22743404300639	0.079200092419365	1.74556897459627E18	4.65443985222212E21
1.2925	2.12846460111163E19	2.12846460111163	4.47753119409028	9.4174	0.175417412229884	2.22953470717619	0.0786789331716926	1.61027654375743E18	4.65444161404102E21
1.29355	2.12906108981434E19	2.12906108981434	4.47417423353986	9.4533	0.175577016202394	2.23183280265362	0.078669430789634	1.59093503324711E18	4.6544432946771E21
1.2946	2.12960229785684E19	2.12960229785684	4.47121289925109	9.4892	0.176349284533654	2.23387867886652	0.0789430895249577	1.63197743821009E18	4.65444498670614E21
1.2953	2.13001576463205E19	2.13001576463205	4.47078528949982	9.525	0.175425628565063	2.23452609267533	0.0785068606449037	1.51802687012262E18	4.65444608920765E21
1.29635	2.13037497547885E19	2.13037497547885	4.47144480234431	9.5609	0.173644791347344	2.23457329283396	0.0777082550409982	1.34098652812009E18	4.65444759018969E21
1.2974	2.13067709537905E19	2.13067709537905	4.4725090705187	9.5869	0.172917117479894	2.23435838022576	0.0773900547961438	1.26872767392033E18	4.65444896028964E21
1.29845	2.13091928931448E19	2.13091928931448	4.47376757170863	9.6068	0.171382178629347	2.23398374797917	0.0767159469196569	1.14381787715146E18	4.65445022687606E21
1.2995	2.13109872226696E19	2.13109872226696	4.47477397982517	9.6266	0.169084317009108	2.23366937846806	0.0756980055504335	9.79775217336312E17	4.65445134176243E21
1.30055	2.13121255921831E19	2.13121255921831	4.47472752323776	9.6465	0.166422929417209	2.23381188561598	0.0745017655644343	8.14784604695906E17	4.65445228390634E21
1.3016	2.13125796515034E19	2.13125796515034	4.47456824721307	9.6663	0.164571769057365	2.23393899355743	0.0736688734705746	7.12501733083221E17	4.65445308573166E21
1.3023	2.13123210504488E19	2.13123210504488	4.47460803410438	9.6861	0.162707881312573	2.23389202426442	0.072836054538558	6.21136052885653E17	4.65445355250489E21
1.3033	2.13113214388376E19	2.13113214388376	4.47485866256528	9.706	0.160635490893898	2.23366213780179	0.0719157513463446	5.3224413928695E17	4.65445412919499E21
1.3043	2.13095524664878E19	2.13095524664878	4.47499633701234	9.7258	0.15912933197276	2.23340801643613	0.071249557090193	4.73653181786855E17	4.65445463214365E21
1.30535	2.13069857832177E19	2.13069857832177	4.47425328911532	9.7457	0.159706354877784	2.23350986963855	0.0715046559895567	4.89391295356468E17	4.654455137742E21
1.3064	2.13117762771296E19	2.13117762771296	4.47325192121154	9.7655	0.158976491984176	2.23451213311281	0.0711459515606714	4.58482605129227E17	4.65445563537579E21
1.30745	2.13164301876773E19	2.13164301876773	4.47230639646489	9.7854	0.160666355446736	2.23547260819031	0.0718713147537964	5.11905960336733E17	4.65445614482979E21
1.3085	2.13209318695979E19	2.13209318695979	4.47160480747104	9.8052	0.16181877139213	2.23629552031951	0.0723601911830553	5.49379168291065E17	4.65445670200448E21
1.30955	2.13252656776286E19	2.13252656776286	4.47198211675537	9.8251	0.162787646203034	2.23656136317059	0.0727847886866219	5.82551852350419E17	4.65445729626827E21
