t [s]	neMax [m^-3]	ne [10^19 m^-3]	TeMax [keV]	Zeff [1]	Ell [V/m]	ED [V/m]	Ell/ED [1]	Spri [a.u.]	int(Spri) [a.u.]
0.14542	7.974E19	7.974	3.41721632541895	10.046	0.514646159269035	10.944355325968	0.0470238898446505	9.22812124679488E17	6.55005452803575E19
0.14649	7.974E19	7.974	3.41929578763702	9.9653	0.512915387704623	10.9376994603118	0.0468942659803164	9.2376642426274E17	6.55010411038904E19
0.14757	7.974E19	7.974	3.42073068433057	9.8849	0.508954052672803	10.9331114145874	0.0465516204283566	8.6047432189968E17	6.55014845334511E19
0.14864	7.974E19	7.974	3.42166715807503	9.8047	0.504340623314591	10.9301191388013	0.0461422805103936	7.82835439397726E17	6.55018982228946E19
0.14936	7.974E19	7.974	3.42219947887993	9.732	0.503355478607975	10.928418966192	0.0460593138097239	7.94231615338243E17	6.55022614724884E19
0.150435	7.974E19	7.974	3.42239353653812	9.6594	0.499970163512981	10.9277992994676	0.0457521363461844	7.45235118128383E17	6.55024735482915E19
0.15151	7.974E19	7.974	3.42225384897713	9.5867	0.495638465043678	10.9282453440039	0.0453538925455791	6.76715777552599E17	6.55027553701464E19
0.15258	7.974E19	7.974	3.42178588373401	9.514	0.491393856334563	10.9297398966039	0.0449593367255928	6.1460139816925E17	6.55030019664009E19
0.15366	7.974E19	7.974	3.42097344909248	9.4414	0.48850206199526	10.9323355610974	0.0446841445055519	5.82494914131888E17	6.55032019034087E19
0.15437	7.974E19	7.974	3.41982754275427	9.3687	0.482472930362872	10.9359987378086	0.0441178663174894	4.95364089481861E17	6.55033704295381E19
0.15545	7.974E19	7.974	3.41847386767803	9.2961	0.476684752355134	10.9403292635046	0.0435713350918319	4.22827638122074E17	6.55034689785656E19
0.15652	7.974E19	7.974	3.41694061998433	9.2234	0.474337933831304	10.9452384019642	0.0433373779913448	4.06012662168596E17	6.55035920700604E19
0.157595	7.974E19	7.974	3.41525116793233	9.1507	0.470060884068738	10.9506527784093	0.0429253756447768	3.63642116472493E17	6.55036954713479E19
0.15867	7.974E19	7.974	3.41333687805674	9.0781	0.464695614394134	10.9567941950036	0.042411640314102	3.12171081263237E17	6.55037821859305E19
0.15939	7.974E19	7.974	3.41116184987431	9.0054	0.460329054541576	10.9637804762802	0.0419863436282297	2.76928371745143E17	6.5503851409592E19
0.16046	7.974E19	7.974	3.40860776145576	8.9327	0.456504082735031	10.9719956968916	0.0416062943648767	2.4984145048737E17	6.55038875756608E19
0.16154	7.974E19	7.974	3.4057038616483	8.8601	0.450512106285133	10.9813510541058	0.0410251984537633	2.06818280079893E17	6.55039319562064E19
0.16261	7.974E19	7.974	3.40247830812207	8.7874	0.444027845925473	10.9917613881058	0.0403964233071832	1.66895753178276E17	6.55039666265146E19
0.16368	7.974E19	7.974	3.39896411379002	8.7148	0.440077939411582	11.003125787457	0.0399957201173916	1.48106357851724E17	6.55039932079858E19
0.1644	7.974E19	7.974	3.3951994497508	8.6421	0.435097511021422	11.0153262701043	0.0394992849374131	1.25640940694181E17	6.5504014293156E19
0.165475	7.974E19	7.974	3.39126428186508	8.5694	0.429489204005983	11.0281082754528	0.0389449571294084	1.03366491637459E17	6.55040262054862E19
0.16655	7.974E19	7.974	3.38719238652021	8.4968	0.425076016677144	11.041365657268	0.0384985000833966	8.90079966177032E16	6.55040399769184E19
0.167625	7.974E19	7.974	3.3830195386529	8.4241	0.419410419773555	11.0549848334532	0.0379385793912975	7.23214593727943E16	6.55040500849755E19
0.1687	7.974E19	7.974	3.37887409430264	8.3514	0.412979942597695	11.0685478793499	0.0373111222085576	5.64667481610228E16	6.55040550473787E19
0.16941	7.974E19	7.974	3.37478492422058	8.2788	0.407350463056714	11.081959452489	0.0367579817272496	4.54095019125206E16	6.55040606901416E19
0.17049	7.974E19	7.974	3.37064724627803	8.2061	0.401999485086836	11.0955632430481	0.0362306515028615	3.67766936049719E16	6.55040646927887E19
0.17156	7.974E19	7.974	3.36647113623984	8.1335	0.395518155794355	11.1093272977996	0.0356023497365762	2.8027620759629E16	6.5504067731044E19
0.17264	7.974E19	7.974	3.36226580444452	8.0608	0.389063443976256	11.1232222156994	0.0349775844113883	2.11973260425561E16	6.55040701443235E19
0.17371	7.974E19	7.974	3.35819234981751	7.9881	0.38525579483923	11.1367145759581	0.0345933077669887	1.82142069353389E16	6.5504071419095E19
0.17443	7.974E19	7.974	3.35423522352235	7.9155	0.38052427890422	11.1498530063762	0.0341281879399317	1.48755991344737E16	6.55040729519552E19
0.1755	7.974E19	7.974	3.35012362109998	7.8428	0.373823558103716	11.1635372066671	0.0334861210370188	1.08653956892188E16	6.55040742646497E19
0.17658	7.974E19	7.974	3.34582025610328	7.7701	0.367153650765874	11.1778956514062	0.0328464017034981	7.85322851942667E15	6.55040753125245E19
0.17729	7.974E19	7.974	3.34128679605825	7.6975	0.362030395226695	11.1930618273188	0.0323441789933736	6.12537219965081E15	6.55040761441633E19
0.17837	7.974E19	7.974	3.33635527455658	7.6248	0.355373370835295	11.2096064757535	0.0317025732887209	4.32418869729303E15	6.55040766394844E19
0.17944	7.974E19	7.974	3.33104009507747	7.5521	0.349509192375687	11.227493102335	0.0311297623779433	3.15739459783278E15	6.5504077306304E19
0.180515	7.974E19	7.974	3.32558813599807	7.4795	0.345078808331011	11.2458994203922	0.0306848563579788	2.49517343818109E15	6.5504077886315E19
0.18159	7.974E19	7.974	3.32001079525428	7.4068	0.340929855770842	11.2647915918054	0.0302650832900318	1.99464894465107E15	6.55040784430103E19
0.18231	7.974E19	7.974	3.31432323484776	7.3447	0.336557358500162	11.2841225918635	0.0298257446035581	1.5463829592004E15	6.55040789933703E19
0.18338	7.974E19	7.974	3.30819209202474	7.2932	0.333881519344757	11.3050356964592	0.0295338757266666	1.31877621268673E15	6.55040793361096E19
0.18446	7.974E19	7.974	3.30156384405431	7.2417	0.331114946041094	11.3277317833593	0.0292304719403324	1.11213950795157E15	6.55040798626426E19
0.18553	7.974E19	7.974	3.2944761464496	7.1902	0.326948717827704	11.3521021335633	0.0288007202526004	846505014297161	6.5504080454427E19
0.1866	7.974E19	7.974	3.2869861141454	7.1387	0.324232512536242	11.3779700894196	0.0284965165128838	707960166236288	6.55040811329314E19
0.18732	7.974E19	7.974	3.27915053874319	7.0872	0.323262295456225	11.4051579057477	0.0283435177423818	667931531715630	6.55040818377903E19
0.188395	7.974E19	7.974	3.2714229566646	7.0357	0.32096266081628	11.4320985658224	0.0280755680130187	572663111201878	6.55040823283071E19
0.18947	7.974E19	7.974	3.26392927185922	6.9842	0.319099733937207	11.4583456245607	0.027848674179737	506427230870120	6.5504083093038E19
0.190545	7.974E19	7.974	3.25671177020615	6.9327	0.31950671922506	11.4837395293095	0.0278225327568251	529284955640538	6.55040838663642E19
0.19162	7.974E19	7.974	3.24978102091763	6.8812	0.318366180460964	11.5082306931941	0.0276642160683523	494640465347786	6.55040846167668E19
0.19233	7.974E19	7.974	3.24315290723247	6.8297	0.317458083160146	11.5317503555508	0.0275290457538683	470822568668021	6.55040854008911E19
0.19341	7.974E19	7.974	3.23669543400942	6.7782	0.318133341522477	11.5547571446214	0.0275326722613608	504238465190513	6.55040858978595E19
0.19448	7.974E19	7.974	3.23030343694564	6.7267	0.320290960597398	11.5776212424323	0.0276646604592249	601900524434894	6.55040865673495E19
0.19556	7.974E19	7.974	3.22376383618945	6.6752	0.321193571798097	11.6011071503583	0.0276864585108308	654589146009771	6.55040871628563E19
0.19663	7.974E19	7.974	3.21707827345841	6.6237	0.321120631732263	11.6252159605924	0.0276227669938184	662904174323059	6.55040876924551E19
0.19735	7.974E19	7.974	3.21024521044338	6.5722	0.321628912817296	11.6499604358629	0.027607725759068	699642580857459	6.55040881704783E19
0.19842	7.974E19	7.974	3.2033081168311	6.5207	0.321980337436064	11.675189624931	0.0275781677026052	729760975403940	6.55040884862035E19
0.1995	7.974E19	7.974	3.19633627712286	6.4692	0.321214574238095	11.700655515742	0.0274526990223697	702324531689398	6.55040889726056E19
0.20057	7.974E19	7.974	3.18946163431877	6.4177	0.32093250567794	11.7258753918423	0.0273695988532516	700297114551043	6.55040894624113E19
0.20165	7.974E19	7.974	3.18269926012019	6.3662	0.321663558156333	11.7507897022201	0.0273737822144465	751784955545441	6.5504089970331E19
0.20236	7.974E19	7.974	3.17606152100647	6.3147	0.319353450515783	11.7753480037226	0.027120510613769	648125931246357	6.55040905366815E19
0.20344	7.974E19	7.974	3.16946510796711	6.2632	0.317845106520024	11.7998553122017	0.0269363562611953	591670314507139	6.55040909617597E19
