t	n	neMax	TeMax	Ell	Zeff	ED	EllED	10	20	30	40	Spri	intSpri
0.51259	11.1475893041698	1.11475893041698E20	1.53986670060496	0.198040102890862	1.5616	33.9534772944659	0.00583268986482103	136738754182086	136738754182086	1.92301226003446E-28	1.13920033122837E-8	4.09605135580923E-8	9.90760362531216E16
0.51331	11.1492037416974	1.11492037416974E20	1.53919315470378	0.197678840766621	1.5605	33.9732546526179	0.0058186606725767	136824774640725	136824774640725	1.69860391823995E-28	1.062197142896E-8	3.37774401770847E-8	9.90760362531216E16
0.5144	11.1508258263134	1.11508258263134E20	1.53851065128618	0.19849004291634	1.5594	33.9932705538218	0.0058390981415592	136912252506973	136912252506973	2.05737683997943E-28	1.20401663614532E-8	4.64334513555731E-8	9.90760362531216E16
0.51548	11.1569282863281	1.11569282863281E20	1.53780185790239	0.201120801696166	1.5583	34.0275504173933	0.00591052835802611	137113421681467	137113421681467	3.93623898194692E-28	1.80517010050103E-8	1.33585563651841E-7	9.90760362531216E16
0.51656	11.1626054716729	1.11626054716729E20	1.53705447338221	0.200760111265833	1.5572	34.061419416434	0.00589406180674225	137309542955133	137309542955133	3.41267102357038E-28	1.6669951121814E-8	1.07258123471302E-7	9.90760362531216E16
0.51764	11.1678560218902	1.11678560218902E20	1.53622776913473	0.202238278189588	1.5562	34.0957792762673	0.00593147546360254	137510020373929	137510020373929	4.78216740478263E-28	2.06466370136484E-8	1.86699343308539E-7	9.90760362531216E16
0.51836	11.1726785765224	1.11726785765224E20	1.5352667223284	0.203587957505166	1.5551	34.1318551760532	0.00596474924832103	137714326997028	137714326997028	6.43949820483143E-28	2.49645306222489E-8	3.04883330231659E-7	9.90760362531216E16
0.51944	11.177071775112	1.1177071775112E20	1.53420803898808	0.204241047817864	1.554	34.1688381476073	0.00597740686808123	137921522389560	137921522389560	7.22524202700845E-28	2.7050194213112E-8	3.71780726348349E-7	9.90760362531216E16
0.52052	11.1810342572011	1.11810342572011E20	1.53306091273542	0.203924522105223	1.5529	34.2065278395362	0.00596156742542941	138130382474926	138130382474926	6.31844327332453E-28	2.5249015160936E-8	3.04391809646623E-7	9.90760362531216E16
0.521605	11.1845646623322	1.11845646623322E20	1.5318227365386	0.204771212693995	1.5519	34.2449864843094	0.00597959683201563	138345269034427	138345269034427	7.42744733362211E-28	2.8193839399342E-8	4.00795121873299E-7	9.90760362531216E16
0.52269	11.1876616300477	1.11876616300477E20	1.53048709342614	0.204958446426698	1.5508	34.2843623885343	0.00597819040949242	138559081289382	138559081289382	7.36964737014139E-28	2.84567962947717E-8	4.02626821941297E-7	9.90760362531216E16
0.52341	11.1903237998898	1.11903237998898E20	1.52904282150137	0.204123636952833	1.5497	34.3249118801853	0.00594680731199976	138777351398394	138777351398394	5.62214380667465E-28	2.45544602055605E-8	2.65870119350172E-7	9.90760362531216E16
0.52449	11.1925498114011	1.11925498114011E20	1.52748998220434	0.203979787885278	1.5486	34.366641379753	0.00593540071697119	139000107198584	139000107198584	5.10646068187649E-28	2.35594838991156E-8	2.32442766196672E-7	9.90760362531216E16
0.52557	11.1943383041237	1.11943383041237E20	1.52583125848914	0.203949353797817	1.5475	34.4094987114036	0.00592712365583595	139227020254911	139227020254911	4.76691229174557E-28	2.3010021867176E-8	2.1261859771842E-7	9.90760362531216E16
0.52629	11.1983732634965	1.11983732634965E20	1.52406384452163	0.202185395494634	1.5465	34.4618196035127	0.00586693905953896	139529459585094	139529459585094	2.79279176959721E-28	1.69718512943116E-8	9.22783027619063E-8	9.90760362531216E16
0.52737	11.202203539823	1.1202203539823E20	1.52223534359235	0.200797519107606	1.5454	34.5150163889756	0.00581768575291021	139832049268338	139832049268338	1.7910471271304E-28	1.3208605331653E-8	4.62569956147905E-8	9.90760362531216E16
0.52845	11.20583194179	1.120583194179E20	1.52040305795769	0.200371593176984	1.5443	34.5678044347231	0.00579648017725165	140131025736855	140131025736855	1.47978131344519E-28	1.1995547149703E-8	3.48566947235175E-8	9.90760362531216E16
